katedra,zkratka,cvicici,cviciciUcitIdno,jednotekCviceni,jednotkaCviceni
KBI,0023,"",,3,HOD/TYD
KBI,0033,"",,3,HOD/TYD
KGEO,0099,"",,3,HOD/TYD
KGEO,0121,"",,2,HOD/TYD
KGEO,0165,"",,2,HOD/TYD
KFY,0199,"",,2,HOD/TYD
KFY,0201,"",,2,HOD/TYD
KGEO,B210,"",,1,HOD/TYD
KGEO,B304,"",,1,HOD/TYD
KGEO,B308,"",,2,HOD/TYD
KCH,B309,"",,1,HOD/TYD
KCH,B310,"",,80,HOD/SEM
KGEO,B314,"",,2,HOD/TYD
KGEO,B315,"",,2,HOD/TYD
KGEO,B400,"",,1,HOD/TYD
KGEO,B412,"",,1,HOD/TYD
KGEO,B509,"",,2,HOD/TYD
KGEO,BK100,"",,4,HOD/SEM
KFY,BK201,"",,4,HOD/SEM
KCH,BK201,"",,8,HOD/SEM
KCH,BK309,"",,8,HOD/SEM
KCH,BK310,"",,80,HOD/SEM
KI,BOP,"",,12,TYD/SEM
KI,BTE,"",,2,HOD/TYD
KCH,DP,"",,60,HOD/SEM
KCH,DP2,"",,24,HOD/TYD
KGEO,E100,"",,5,DNU/SEM
KBI,E101,"",,1,HOD/TYD
KGEO,E101,"",,5,DNU/SEM
KBI,E105,"",,3,HOD/TYD
KBI,E108,"",,3,HOD/TYD
CNB,EXK,"",,1,HOD/TYD
KFY,EXK,"",,1,HOD/TYD
KBI,ICT2,"",,2,HOD/TYD
KBI,IT2,"",,2,HOD/TYD
KCH,K0900,"",,4,HOD/SEM
KCH,K101,"",,4,HOD/SEM
KPRF,K103,"",,2,HOD/SEM
KBI,K201,"",,12,HOD/SEM
KBI,K204,"",,8,HOD/SEM
KBI,K205,"",,2,DNU/SEM
KFY,K306,"",,2,HOD/SEM
KBI,K405,"",,2,DNU/SEM
KBI,K414,"",,5,HOD/SEM
KCH,K506,"",,6,HOD/SEM
KCH,K507,"",,6,HOD/SEM
KBI,K604,"",,6,HOD/SEM
KFY,K604,"",,12,HOD/SEM
KCH,K605,"",,20,HOD/SEM
KFY,K607,"",,4,HOD/TYD
KBI,K607,"",,5,HOD/SEM
KFY,K608,"",,6,HOD/SEM
KFY,K609,"",,8,HOD/SEM
KFY,KFYZ,"",,4,HOD/SEM
KBI,KIT2,"",,12,HOD/SEM
KBI,KN201,"",,8,HOD/SEM
KI,KOOD,"",,4,HOD/SEM
KCH,M101,"",,5,HOD/TYD
KMA,M104,"",,2,HOD/TYD
KMA,M105,"",,2,HOD/TYD
KCH,M111,"",,3,TYD/SEM
KGEO,M202,"",,2,HOD/TYD
KBI,M300,"",,3,HOD/TYD
KGEO,M318,"",,2,HOD/TYD
KBI,M400,"",,3,HOD/TYD
KMA,M400,"",,2,HOD/TYD
KBI,MA207,"",,1,HOD/TYD
KFY,MK205,"",,8,HOD/SEM
KMA,MK205,"",,3,TYD/SEM
KCH,N002,"",,1,HOD/TYD
KBI,N002,"",,2,HOD/SEM
KBI,N007,"",,2,DNU/SEM
KCH,N300,"",,3,TYD/SEM
KCH,N302,"",,5,TYD/SEM
KCH,N313,"",,4,HOD/TYD
KCH,N412,"",,12,HOD/TYD
KFY,NA14,"",,1,HOD/TYD
KMA,NME,"",,2,HOD/TYD
KI,OOD,"",,1,HOD/TYD
KBI,P202,"",,2,HOD/TYD
KBI,P210,"",,3,HOD/TYD
KBI,P300,"",,1,HOD/TYD
KCH,P330,"",,2,HOD/TYD
KMA,P421,"",,2,HOD/TYD
KCH,P507,"",,3,HOD/TYD
KBI,P618,"",,3,HOD/TYD
KPRF,PD11,"",,2,HOD/TYD
KFY,PD11,"",,2,HOD/TYD
